Saksnr.,Stasjon for tilknytning i transmisjonsnettet,Områdeplan,Prisområde,Statnetts kunde,Sluttkunde,Næringstype,Reservert kapasitet (MW),Dato for når Statnett reserverte kapasitet til kunden,Kundens ønskede tilknytningstidspunkt,Kundens referanse,Kunde og tilknytningsansvarlig
22/00524,Nedre Røssåga,Helgeland og Salten,NO4,Fuella AS,Fuella AS,Hydrogen/ammoniakk,560,09.02.2024,29.09.2029,,Ingvild Grøtterud Birkeland
21/00279,Hyggevatn,Nord,NO4,Equinor Asa,Equinor ASA,Petroleum,350,03.04.2019,29.06.2029,,Lars Erik Johansen
21/00289,Kristiansand,Sør Rogaland og Agder,NO2,N01 Utilities AS,N01 Utilities AS,Datasenter,300,22.01.2023,30.12.2027,,Geir Kåsa
24/01713,Kristiansand,Sør Rogaland og Agder,NO2,N01 Utilities AS,N01 Utilities AS,Datasenter,300,22.05.2025,30.12.2029,,Geir Kåsa
24/01882,Ertsmyra,Sør Rogaland og Agder,NO2,Glitre Nett AS,Tonstad Datapark AS,Datasenter,300,29.09.2025,30.03.2028,,Geir Kåsa
24/01755,Marka,Helgeland og Salten,NO4,Linea AS,Gen2 energy,Hydrogen/ammoniakk,195,21.12.2025,29.06.2028,,Ingvild Grøtterud Birkeland
22/00667,Ålfoten,Sogn og Sunnmøre,NO3,Linja AS,Fortescue,Hydrogen/ammoniakk,300,11.10.2023,28.06.2029,,Hans Olav Ween
23/01257,Fagrafjell,Sør Rogaland og Agder,NO2,Lnett AS,Green Mountain,Datasenter,290,12.09.2024,31.12.2031,,Ingvild Grøtterud Birkeland
22/00602,Rød,Telemark og Vestfold,NO2,WS Computing AS,WSC,Datasenter,240,05.11.2023,30.03.2027,,Geir Kåsa
21/00233,Kvandal,Nord,NO4,Nordkraft Industrinett,Aaktik Digital AS,Datasenter,230,28.04.2021,30.11.2026,,Lars Erik Johansen
24/01807,Ringerike,Hallingdal og Ringerike,NO1,Glitre Nett AS,Odin Green DC AS,Datasenter,150,09.10.2025,30.12.2032,,Heidi Hellesvik Ringstad
24/01805,Ringerike,Hallingdal og Ringerike,NO1,Glitre Nett AS,AtNorth AS,Datasenter,146,09.10.2025,30.12.2032,,Heidi Hellesvik Ringstad
23/01250,Brokke,Sør Rogaland og Agder,NO2,Lede AS,EdgeConneX MCN Norway AS,Datasenter,140,29.10.2024,30.12.2027,,Geir Kåsa
21/00100,Samnanger,Bergen og Haugalandet,NO5,Aker BP ASA,Aker BP,Petroleum,140,08.09.2022,31.12.2026,,Magnus Tennøe
23/01413,Lindås,Bergen og Haugalandet,NO5,BKK AS,SkiGA AS Org. Nr. 929 597311,Hydrogen/ammoniakk,130,19.03.2024,29.06.2026,,Magnus Tennøe
23/01093,Varangerbotn,Nord,NO4,Barents Nett As,Aker Clean Hydrogen og Varanger Kraft,Hydrogen/ammoniakk,120,30.10.2023,30.01.2030,,Lars Erik Johansen
21/00078,Spanne,Bergen og Haugalandet,NO2,Equinor Asa,Equinor Energy AS,Petroleum,120,27.05.2021,31.12.2032,,Magnus Tennøe
23/01056,Kollsnes,Bergen og Haugalandet,NO5,Equinor Asa,Equinor ASA,Petroleum,105,19.04.2019,30.06.2028,,Magnus Tennøe
23/01030,Bjerkreim,Sør Rogaland og Agder,NO2,Lnett AS,Green Mountain AS,Datasenter,100,16.06.2024,31.12.2026,,Ingvild Grøtterud Birkeland
24/01774,Ringerike,Hallingdal og Ringerike,NO1,Glitre Nett AS,Stack AS,Datasenter,100,20.03.2025,30.12.2027,,Heidi Hellesvik Ringstad
21/00196,T35,Telemark og Vestfold,,Herøya Nett As,Yara,Industri,100,27.02.2023,29.09.2030,,Geir Kåsa
24/01756,Marka,Helgeland og Salten,NO4,Linea AS,Norsk E-fuel,Industri,90,21.12.2025,29.06.2028,,Ingvild Grøtterud Birkeland
21/00184,Arendal Industrinett,Sør Rogaland og Agder,NO2,Glitre Nett AS,Morrow Batteries,Batteriproduksjon,"88,5",22.08.2024,29.06.2028,,Geir Kåsa
23/00955,Fagrafjell,Sør Rogaland og Agder,NO2,Lnett AS,Green Mountain,Datasenter,80,27.06.2024,31.03.2027,,Ingvild Grøtterud Birkeland
21/00019,Hofstad,Midt,NO3,Tensio AS,OKEA,Petroleum,80,09.06.2020,30.07.2026,,Christopher Aarnseth Ruud
21/00212,Tegneby,"Oslo, Akershus og Østfold",NO1,Elvia As,Green Mountain Enebakk AS,Datasenter,75,21.09.2020,30.12.2027,,Heidi Hellesvik Ringstad
24/01632,Lindås,Bergen og Haugalandet,NO5,BKK AS,Equinor ASA,Hydrogen/ammoniakk,75,06.05.2025,31.12.2030,,Magnus Tennøe
23/01415,Kollsnes,Bergen og Haugalandet,NO5,BKK AS,Carbon Removal,Industri,74,19.03.2024,30.03.2028,,Magnus Tennøe
21/00460,Tunnsjødal,Midt,NO4,Tensio AS,Exanorth AS,Datasenter,70,06.01.2022,31.12.2026,,Christopher Aarnseth Ruud
21/00298,Ålfoten,Sogn og Sunnmøre,NO3,Linja AS,Lefdal Mine datacenter,Datasenter,"63,8",30.10.2018,29.06.2028,,Hans Olav Ween
21/00063,Ørskog,Sogn og Sunnmøre,NO3,Linja AS,Hofseth Aqua,Oppdrettsnæring,62,05.12.2023,30.03.2027,,Hans Olav Ween
23/01430,Rana,Helgeland og Salten,NO4,Linea AS,SMA Mineal,Industri,60,10.08.2025,30.12.2026,,Ingvild Grøtterud Birkeland
22/00533,Bardufoss Transformatorstasjon,Nord,NO4,Arva AS,Finnfjord AS,Industri,60,08.10.2025,30.06.2031,,Lars Erik Johansen
24/01660,Grenland,Telemark og Vestfold,NO2,Lede AS,Klingstone AS,Datasenter,55,28.10.2024,30.12.2027,,Geir Kåsa
21/00341,Ringerike,Hallingdal og Ringerike,NO1,Glitre Nett AS,Billerud Korsnäs,Industri,55,15.03.2023,31.12.2026,,Heidi Hellesvik Ringstad
25/02065,Ringerike,Hallingdal og Ringerike,NO1,Glitre Nett AS,Biojet AS,Industri,55,09.10.2025,30.12.2032,,Heidi Hellesvik Ringstad
21/00207,Kollsnes,Bergen og Haugalandet,NO5,Equinor Asa,Equinor ASA,Petroleum,51,19.04.2019,29.08.2024,,Magnus Tennøe
22/00692,Kobbvatnet,Helgeland og Salten,NO4,Kystnett As,Northern DC,Datasenter,50,27.09.2022,30.11.2028,,Ingvild Grøtterud Birkeland
24/01770,Tegneby,"Oslo, Akershus og Østfold",NO1,Elvia As,Larkollveien 4 AS,Datasenter,50,28.08.2025,29.09.2027,,Heidi Hellesvik Ringstad
23/01400,Frogner,"Oslo, Akershus og Østfold",NO1,Elvia As,AtNorth AS,Datasenter,50,13.10.2025,30.03.2028,,Heidi Hellesvik Ringstad
23/01192,Minne,Innlandet,NO1,Elvia As,AtNorth AS,Datasenter,50,22.01.2026,30.03.2033,,Heidi Hellesvik Ringstad
24/01748,Litle Sotra,Bergen og Haugalandet,NO5,BKK AS,Tresmarka AS,Transport,50,06.05.2025,01.12.2028,,Magnus Tennøe
24/01503,Fagrafjell,Sør Rogaland og Agder,NO2,Lnett AS,GREEN HORIZON AS,Datasenter,48,27.06.2024,31.12.2026,,Ingvild Grøtterud Birkeland
24/01555,Minne,Innlandet,NO1,Elvia As,AtNorth AS,Datasenter,46,22.01.2026,30.12.2035,,Heidi Hellesvik Ringstad
21/00068,Surna,Midt,NO3,Mellom AS,Salfjord AS,Oppdrettsnæring,45,13.03.2025,01.01.2028,,Christopher Aarnseth Ruud
21/00365,Skaidi,Nord,NO4,Lucerna AS,Horisont Energi,Hydrogen/ammoniakk,45,28.06.2023,02.04.2028,,Lars Erik Johansen
21/00247,Kvinesdal,Sør Rogaland og Agder,NO2,Alcoa Norway AS,Aker BP ASA,Petroleum,45,02.12.2019,29.06.2026,,Geir Kåsa
22/00635,Tegneby,"Oslo, Akershus og Østfold",NO1,Elvia As,HAFSLUND CELSIO AS,Industri,41,19.11.2023,30.12.2027,,Heidi Hellesvik Ringstad
21/00475,Marka,Helgeland og Salten,NO4,Linea AS,Alcoa Mosjøen,Industri,41,09.02.2024,30.12.2027,,Ingvild Grøtterud Birkeland
25/02292,Vinje,Telemark og Vestfold,NO2,Statkraft Energi As,Bifrost Edge AS,Datasenter,40,14.12.2025,14.12.2026,,Geir Kåsa
23/01414,Lindås,Bergen og Haugalandet,NO5,BKK AS,Mongstad Eiendomsselskap,Oppdrettsnæring,40,19.03.2024,29.06.2026,,Magnus Tennøe
22/00493,Grenland,Telemark og Vestfold,NO2,Lede AS,INEOS Bamble AS,Industri,37,05.02.2024,30.12.2032,,Geir Kåsa
24/01504,Bjerkreim,Sør Rogaland og Agder,NO2,Lnett AS,GreenBox™ Data Center Solutions by Green Horizon AS,Datasenter,36,27.06.2024,31.12.2027,,Ingvild Grøtterud Birkeland
21/00397,Rjukan,Telemark og Vestfold,NO2,Lede AS,NORSK HYDROGEN AS,Hydrogen/ammoniakk,35,28.09.2021,29.06.2028,,Geir Kåsa
21/00339,Skaidi,Nord,NO4,Lucerna AS,Nussir AS,Industri,35,27.02.2022,30.09.2026,,Lars Erik Johansen
21/00385,Hasle,"Oslo, Akershus og Østfold",NO1,Elvia As,Borregaard AS,Industri,35,07.12.2023,29.06.2027,,Heidi Hellesvik Ringstad
24/01869,Rjukan,Telemark og Vestfold,NO2,Lede AS,Green Mountain AS,Datasenter,33,12.02.2025,30.12.2026,,Geir Kåsa
23/01372,Frogner,"Oslo, Akershus og Østfold",NO1,Elvia As,SI OSL 03.2 AS,Datasenter,32,13.10.2025,29.06.2033,,Heidi Hellesvik Ringstad
21/00206,Haugsvær,Bergen og Haugalandet,NO5,BKK AS,Regn / Kitebrook,Datasenter,30,27.10.2020,31.03.2027,,Magnus Tennøe
23/00956,Hasle,"Oslo, Akershus og Østfold",NO1,Elvia As,AtNorth AS,Datasenter,30,12.05.2025,30.03.2028,,Heidi Hellesvik Ringstad
22/00665,Svartisen,Helgeland og Salten,NO4,Arva AS,Nscale,Datasenter,30,02.10.2025,30.12.2027,,Ingvild Grøtterud Birkeland
24/01894,Ringerike,Hallingdal og Ringerike,NO1,Glitre Nett AS,AtNorth AS,Datasenter,30,09.10.2025,30.12.2032,,Heidi Hellesvik Ringstad
21/00191,Salten transformatorstasjon,Helgeland og Salten,NO4,Arva AS,GreenH,Hydrogen/ammoniakk,30,30.06.2023,29.06.2027,,Ingvild Grøtterud Birkeland
22/00754,Mestervik,Nord,NO4,Arva AS,Neptun Tromsø AS,Hydrogen/ammoniakk,30,08.10.2025,31.03.2028,,Lars Erik Johansen
23/00999,Hasle,"Oslo, Akershus og Østfold",NO1,Elvia As,Kronos Titan AS,Industri,30,12.05.2025,30.12.2030,,Heidi Hellesvik Ringstad
26/03113,Bamble,Telemark og Vestfold,NO2,Lede AS,STORMVIND AS,Annet forbruk,30,03.11.2025,29.06.2028,,Geir Kåsa
21/00112,T35,Telemark og Vestfold,,Herøya Nett As,Nordic Electrofuel AS,Hydrogen/ammoniakk,26,18.01.2023,30.06.2029,,Geir Kåsa
21/00222,Fortun,Sogn og Sunnmøre,NO5,Linja AS,Hydro Aluminium AS,Industri,26,17.02.2019,29.06.2026,,Hans Olav Ween
21/00458,Grenland,Telemark og Vestfold,NO2,Lede AS,INEOS Rafnes AS,Industri,26,05.02.2024,29.09.2030,,Geir Kåsa
25/02311,Fagrafjell,Sør Rogaland og Agder,NO2,Lnett AS,MS Kvål,Datasenter,25,27.05.2024,31.12.2027,,Ingvild Grøtterud Birkeland
23/01062,Frogner,"Oslo, Akershus og Østfold",NO1,Elvia As,SI OSL 03.2 AS,Datasenter,25,28.04.2025,29.06.2033,,Heidi Hellesvik Ringstad
25/02009,Kollsnes,Bergen og Haugalandet,NO5,BKK AS,FlexFuels AS,Industri,25,06.05.2025,01.01.2028,,Magnus Tennøe
25/02117,Hasle,"Oslo, Akershus og Østfold",NO1,Elvia As,Viken Energy AS,Annet forbruk,25,08.11.2020,30.12.2028,,Heidi Hellesvik Ringstad
23/01042,Ulven,"Oslo, Akershus og Østfold",NO1,Elvia As,Skygard 1 AS,Datasenter,"24,2",18.11.2024,30.12.2029,,Heidi Hellesvik Ringstad
21/00173,Vang,Innlandet,NO1,Elvia As,BaneNor SF,Transport,24,06.12.2020,30.05.2026,,Heidi Hellesvik Ringstad
25/02320,Stølaheia,Sør Rogaland og Agder,NO2,Lnett AS,Stavanger Havn,Transport,24,22.05.2024,31.12.2025,,Ingvild Grøtterud Birkeland
21/00471,Marka,Helgeland og Salten,NO4,Linea AS,Exanext AS,Datasenter,23,21.12.2025,29.09.2027,,Ingvild Grøtterud Birkeland
21/00169,Frogner,"Oslo, Akershus og Østfold",NO1,Elvia As,SI OSL 03.2 AS,Datasenter,22,19.11.2023,29.06.2033,,Heidi Hellesvik Ringstad
25/02045,Lindås,Bergen og Haugalandet,NO5,BKK AS,Viking Aqua,Oppdrettsnæring,20,26.05.2025,01.12.2027,,Magnus Tennøe
23/00970,Sortland,Nord,NO4,Vestall AS,,Industri,"21,4",26.02.2023,31.05.2027,,Lars Erik Johansen
22/00695,Svartisen,Helgeland og Salten,NO4,Arva AS,Neptun GGA,Hydrogen/ammoniakk,20,30.06.2023,29.06.2027,,Ingvild Grøtterud Birkeland
23/00869,Moskog,Sogn og Sunnmøre,NO3,Linja AS,HTwo-Fuel AS,Hydrogen/ammoniakk,20,21.09.2023,29.07.2027,,Hans Olav Ween
22/00600,Ørskog,Sogn og Sunnmøre,NO3,Linja AS,Norwegian Hydrogen AS,Hydrogen/ammoniakk,20,05.12.2023,29.04.2027,,Hans Olav Ween
22/00701,Nedre Røssåga,Helgeland og Salten,NO4,Linea AS,GreenH,Hydrogen/ammoniakk,20,09.02.2024,31.03.2027,,Ingvild Grøtterud Birkeland
23/01421,Fagrafjell,Sør Rogaland og Agder,NO2,Lnett AS,Norwegian Hydrogen,Hydrogen/ammoniakk,20,27.06.2024,30.12.2027,,Ingvild Grøtterud Birkeland
23/01416,Dale,Bergen og Haugalandet,NO5,BKK AS,Dale Fabrikker,Industri,20,11.12.2023,01.01.2027,,Magnus Tennøe
23/01418,Kollsnes,Bergen og Haugalandet,NO5,BKK AS,Northern Lights trinn 2,Industri,20,19.03.2024,30.12.2028,,Magnus Tennøe
24/01633,Litle Sotra,Bergen og Haugalandet,NO5,BKK AS,Equinor ASA,Industri,20,26.05.2025,01.01.2029,,Magnus Tennøe
25/02861,Kvinesdal,Sør Rogaland og Agder,NO2,VENTYR SNII AS,Ventyr,Annet forbruk,20,07.10.2024,30.12.2030,,Geir Kåsa
