Saksnr.,Stasjon for tilknytning i transmisjonsnettet,Områdeplan,Prisområde,Statnetts kunde,Sluttkunde,Næringstype,Dato - moden bestilling fra sluttkunde,Kapasitet i kø (MW),Kundens ønskede dato for tilknytning,Kundens referanse,Kunde og tilknytningsansvarlig
21/00093,Varangerbotn,Nord,NO4,Barents Nett As,Aker Solution og Varanger Kraft Hydrogen,Hydrogen/ammoniakk,23.01.2024,177,30.01.2030,,Lars Erik Johansen
21/00098,Tveiten,Telemark og Vestfold,NO2,Lede AS,Green Mountain AS,Datasenter,14.12.2022,20,30.03.2027,,Geir Kåsa
21/00283,Kårstø,Bergen og Haugalandet,NO2,Gassco AS,Gassco AS,Petroleum,15.05.2019,20,30.06.2023,,Magnus Tennøe
21/00426,Arendal,Sør Rogaland og Agder,NO2,Glitre Nett AS,Biozin Holding AS,Industri,29.05.2025,65,30.12.2027,,Geir Kåsa
21/00473,Marka,Helgeland og Salten,NO4,Linea AS,Gen2 energy,Hydrogen/ammoniakk,30.10.2022,500,31.12.2031,,Ingvild Grøtterud Birkeland
21/00475,Marka,Helgeland og Salten,NO4,Linea AS,Alcoa Mosjøen,Industri,04.02.2018,17,31.03.2025,,Ingvild Grøtterud Birkeland
22/00602,Rød,Telemark og Vestfold,NO2,WS Computing AS,WSC,Datasenter,29.03.2022,480,31.03.2025,,Geir Kåsa
22/00618,Åfjord,Midt,NO3,Tensio AS,Gen2 energy,Hydrogen/ammoniakk,11.04.2022,150,31.08.2028,,Christopher Aarnseth Ruud
22/00654,Vågåmo,Innlandet,NO3,Fjellnett As,Krefter AS,Datasenter,24.05.2022,10,30.07.2025,,Heidi Hellesvik Ringstad
22/00660,Sildvik,Nord,NO4,Narvik Hydrogen AS,Narvik Hydrogen AS,Hydrogen/ammoniakk,21.09.2023,90,01.04.2027,,Lars Erik Johansen
22/00715,Kolsvik,Helgeland og Salten,NO4,Linea AS,Aquaculture Innovation,Oppdrettsnæring,27.04.2022,25,01.10.2026,,Ingvild Grøtterud Birkeland
22/00717,Nedre Røssåga,Helgeland og Salten,NO4,Linea AS,SCC Eiendom,Datasenter,15.09.2022,20,31.12.2024,,Ingvild Grøtterud Birkeland
22/00747,Aura,Midt,NO3,Linja AS,Pega Nordic AS,Datasenter,25.11.2022,8,30.01.2023,,Christopher Aarnseth Ruud
23/00809,Tveiten,Telemark og Vestfold,NO2,Lede AS,Slagentangen H2 og ammoniakk produksjon fase 2,Hydrogen/ammoniakk,04.09.2022,59,29.06.2026,,Geir Kåsa
23/00814,Hof,Telemark og Vestfold,NO2,Lede AS,NOAH - Saltgjennvinning,Industri,26.10.2022,16,30.03.2029,,Geir Kåsa
23/00826,Ørskog,Sogn og Sunnmøre,NO3,Linja AS,Norwegian Hydrogen AS,Hydrogen/ammoniakk,25.01.2023,250,30.08.2027,,Hans Olav Ween
23/00863,Moskog,Sogn og Sunnmøre,NO3,Linja AS,North Ammonia AS,Hydrogen/ammoniakk,06.06.2024,200,30.01.2028,,Hans Olav Ween
23/00918,Skaidi,Nord,NO4,Area Nett AS,Sky Consulting,Datasenter,03.03.2025,15,30.12.2025,,Lars Erik Johansen
23/00931,Strinda,Midt,NO3,Tensio AS,Statkraft Varme,Annet forbruk,04.04.2023,"10,1",01.07.2027,,Christopher Aarnseth Ruud
23/00951,Hinnøy,Nord,NO4,Noranett AS,NorthSafe AS,Datasenter,23.04.2023,25,13.09.2023,,Lars Erik Johansen
23/00977,Orkdal,Midt,NO3,Tensio AS,Ellinor Batteries AS,Batteriproduksjon,16.05.2023,100,30.12.2027,,Christopher Aarnseth Ruud
23/01018,Viklandet,Midt,NO3,Linja AS,BIO3,Oppdrettsnæring,30.05.2023,40,29.06.2026,,Christopher Aarnseth Ruud
23/01050,Fåberg,Innlandet,NO1,Vevig As,Glocal Green Innlandet AS,Hydrogen/ammoniakk,30.05.2024,125,30.03.2029,,Heidi Hellesvik Ringstad
23/01051,Leirdøla,Sogn og Sunnmøre,NO5,Sygnir AS,Kitebrook Infrastructure AS,Datasenter,26.04.2025,100,30.12.2024,,Hans Olav Ween
23/01063,Tegneby,"Oslo, Akershus og Østfold",NO1,Elvia As,SI OSL 04 AS,Datasenter,13.07.2023,44,29.06.2033,,Heidi Hellesvik Ringstad
23/01086,Viklandet,Midt,NO3,Linja AS,Averøy Industripark AS,Oppdrettsnæring,15.08.2023,20,30.01.2028,,Christopher Aarnseth Ruud
23/01095,Orkdal,Midt,NO3,Tensio AS,Orkland Næringspark AS,Industri,18.08.2023,"5,1",30.12.2027,,Christopher Aarnseth Ruud
23/01099,Moskog,Sogn og Sunnmøre,NO3,Linja AS,HTwo-Fuel AS,Hydrogen/ammoniakk,28.08.2023,20,30.01.2028,,Hans Olav Ween
23/01121,Aura,Midt,NO3,Hydro Aluminium As,Hydro Aluminium AS,Industri,25.10.2022,85,30.12.2033,,Christopher Aarnseth Ruud
23/01166,Hof,Telemark og Vestfold,NO2,Lede AS,Norgips Norge AS,Industri,30.06.2024,32,30.12.2027,,Geir Kåsa
23/01219,Niingen,Nord,NO4,Noranett AS,Bogen Aqua,Oppdrettsnæring,06.11.2023,5,30.11.2028,,Lars Erik Johansen
23/01237,Kvitnes,Nord,NO4,Noranett AS,Denvo Wolffish Norway AS,Oppdrettsnæring,21.10.2023,10,30.11.2031,,Lars Erik Johansen
