saksnr,stasjon,omradeplan,prisomrade,statnetts_kunde,sluttkunde,naringstype,reservert_mw,reservert_dato,onsket_tilknytning,kundens_referanse,kunde_og_tilknytningsansvarlig
22/00524,Nedre Røssåga,Helgeland og Salten,NO4,Fuella AS,Fuella AS,Hydrogen/ammoniakk,560.0,2024-02-09,2029-09-29,,Ingvild Grøtterud Birkeland
21/00279,Hyggevatn,Nord,NO4,Equinor Asa,Equinor ASA,Petroleum,350.0,2019-04-03,2029-06-29,,Lars Erik Johansen
21/00289,Kristiansand,Sør Rogaland og Agder,NO2,N01 Utilities AS,N01 Utilities AS,Datasenter,300.0,2023-01-22,2027-12-30,,Geir Kåsa
24/01713,Kristiansand,Sør Rogaland og Agder,NO2,N01 Utilities AS,N01 Utilities AS,Datasenter,300.0,2025-05-22,2029-12-30,,Geir Kåsa
24/01882,Ertsmyra,Sør Rogaland og Agder,NO2,Glitre Nett AS,Tonstad Datapark AS,Datasenter,300.0,2025-09-29,2028-03-30,,Geir Kåsa
24/01755,Marka,Helgeland og Salten,NO4,Linea AS,Gen2 energy,Hydrogen/ammoniakk,195.0,2025-12-21,2028-06-29,,Ingvild Grøtterud Birkeland
22/00667,Ålfoten,Sogn og Sunnmøre,NO3,Linja AS,Fortescue,Hydrogen/ammoniakk,300.0,2023-10-11,2029-06-28,,Hans Olav Ween
23/01257,Fagrafjell,Sør Rogaland og Agder,NO2,Lnett AS,Green Mountain,Datasenter,290.0,2024-09-12,2031-12-31,,Ingvild Grøtterud Birkeland
22/00602,Rød,Telemark og Vestfold,NO2,WS Computing AS,WSC,Datasenter,240.0,2023-11-05,2027-03-30,,Geir Kåsa
21/00233,Kvandal,Nord,NO4,Nordkraft Industrinett,Aaktik Digital AS,Datasenter,230.0,2021-04-28,2026-11-30,,Lars Erik Johansen
24/01807,Ringerike,Hallingdal og Ringerike,NO1,Glitre Nett AS,Odin Green DC AS,Datasenter,150.0,2025-10-09,2032-12-30,,Heidi Hellesvik Ringstad
24/01805,Ringerike,Hallingdal og Ringerike,NO1,Glitre Nett AS,AtNorth AS,Datasenter,146.0,2025-10-09,2032-12-30,,Heidi Hellesvik Ringstad
23/01250,Brokke,Sør Rogaland og Agder,NO2,Lede AS,EdgeConneX MCN Norway AS,Datasenter,140.0,2024-10-29,2027-12-30,,Geir Kåsa
21/00100,Samnanger,Bergen og Haugalandet,NO5,Aker BP ASA,Aker BP,Petroleum,140.0,2022-09-08,2026-12-31,,Magnus Tennøe
23/01413,Lindås,Bergen og Haugalandet,NO5,BKK AS,SkiGA AS Org. Nr. 929 597311,Hydrogen/ammoniakk,130.0,2024-03-19,2026-06-29,,Magnus Tennøe
23/01093,Varangerbotn,Nord,NO4,Barents Nett As,Aker Clean Hydrogen og Varanger Kraft,Hydrogen/ammoniakk,120.0,2023-10-30,2030-01-30,,Lars Erik Johansen
21/00078,Spanne,Bergen og Haugalandet,NO2,Equinor Asa,Equinor Energy AS,Petroleum,120.0,2021-05-27,2032-12-31,,Magnus Tennøe
23/01056,Kollsnes,Bergen og Haugalandet,NO5,Equinor Asa,Equinor ASA,Petroleum,105.0,2019-04-19,2028-06-30,,Magnus Tennøe
23/01030,Bjerkreim,Sør Rogaland og Agder,NO2,Lnett AS,Green Mountain AS,Datasenter,100.0,2024-06-16,2026-12-31,,Ingvild Grøtterud Birkeland
24/01774,Ringerike,Hallingdal og Ringerike,NO1,Glitre Nett AS,Stack AS,Datasenter,100.0,2025-03-20,2027-12-30,,Heidi Hellesvik Ringstad
21/00196,T35,Telemark og Vestfold,NO2,Herøya Nett As,Yara,Industri,100.0,2023-02-27,2030-09-29,,Geir Kåsa
24/01756,Marka,Helgeland og Salten,NO4,Linea AS,Norsk E-fuel,Industri,90.0,2025-12-21,2028-06-29,,Ingvild Grøtterud Birkeland
21/00184,Arendal Industrinett,Sør Rogaland og Agder,NO2,Glitre Nett AS,Morrow Batteries,Batteriproduksjon,88.5,2024-08-22,2028-06-29,,Geir Kåsa
23/00955,Fagrafjell,Sør Rogaland og Agder,NO2,Lnett AS,Green Mountain,Datasenter,80.0,2024-06-27,2027-03-31,,Ingvild Grøtterud Birkeland
21/00019,Hofstad,Midt,NO3,Tensio AS,OKEA,Petroleum,80.0,2020-06-09,2026-07-30,,Christopher Aarnseth Ruud
21/00212,Tegneby,"Oslo, Akershus og Østfold",NO1,Elvia As,Green Mountain Enebakk AS,Datasenter,75.0,2020-09-21,2027-12-30,,Heidi Hellesvik Ringstad
24/01632,Lindås,Bergen og Haugalandet,NO5,BKK AS,Equinor ASA,Hydrogen/ammoniakk,75.0,2025-05-06,2030-12-31,,Magnus Tennøe
23/01415,Kollsnes,Bergen og Haugalandet,NO5,BKK AS,Carbon Removal,Industri,74.0,2024-03-19,2028-03-30,,Magnus Tennøe
