navn,nveNetbasID,spenning_kV,driftsattaar,eier,lat,lon
STUVANE,77864,,1988,OKKEN KRAFT AS,61.051396798768565,7.641754120807268
,,,,,58.87627348062583,5.724200395162438
SAGEFOSSEN,80632,,1984,LINJA AS,61.61478900009421,5.678047974935139
NEDRE PORSA,80076,,1959,PORSA KRAFTLAG AS,70.40227500012942,23.623914583169732
SKOTSELV-T,80106,,1953,GLITRE ENERGI NETT AS,59.8309111103599,9.867997816615082
LISMARKA TRSF.ST.,,,1983,ELVIA AS,61.068104521529854,10.623583761282186
GOLIAT,77307,,,VÅR ENERGI AS,72.92817400306706,23.118199752451005
HUNDERFOSSEN KR.VERK,,,,ELVIA AS,61.21957237061811,10.439025645940664
BI HAUGKRYSSET,,,1987,LOFOTKRAFT AS,68.13286808903962,13.552001062617942
FØRDE,,,,SUNNFJORD ENERGI AS,61.45796862298849,5.854105047322223
,,,,,59.01329139823939,5.601995009156439
EVENES T-AVGRENING,77430,,1972,HÅLOGALAND KRAFT NETT AS,68.497441007647,16.746874001203526
GÅRE TRANSFORMATORSTASJON,,,1982,HÅLOGALAND KRAFT NETT AS,68.7582862372026,16.253580784872504
NAUSTDAL,,,,SUNNFJORD ENERGI AS,61.51846948144508,5.720407118355388
T_TAFJORD,77753,,1981,TAFJORD KRAFTPRODUKSJON AS,62.21291394798819,7.4457959503713385
BG SJURBAKKEN,,,2001,LOFOTKRAFT AS,68.28985885646635,13.860141813985853
,,,,,58.994961800607676,5.664120442394345
NORD-ODAL TRST,,,,ELVIA AS,60.40815794968401,11.550391415127981
NYE HEGGEN TRANSFORMATORSTASJON,79756,,2016,HÅLOGALAND KRAFT NETT AS,68.79560400709292,16.521854000927807
,,,,,58.73595264777936,5.69133185556833
,,,,,58.85409451904839,5.780317495100845
,,,,,59.14800329200787,6.173505064388036
CC BOLLHAUGEN,,,1989,LOFOTKRAFT AS,67.93907937399793,13.070702056230308
KVITNES,80546,,1984,HÅLOGALAND KRAFT NETT AS,68.62890500685154,16.598308000134733
