navn,organisasjonsnummer,kryptovalutautvinning
ARCTIC FLUX AS,935798973,"Ja (95 % av forbruk)"
ASP DATA CENTER AS,931764225,Nei
ATEA AS,976239997,Nei
AVUR AS,928077993,Nei
BITPRO AS,986643583,Nei
BLIX SOLUTIONS AS,993128708,Nei
BLUEBITE GMBH,922053162,"Ja (55 % av forbruk)"
BLUEFJORDS,993743801,"Ja (30 % av forbruk)"
BULK DATA CENTERS N01 AS,916871376,Nei
BULK DATA CENTERS N01 DCM101 AS,932255561,Nei
BULK DATA CENTERS N01 DCM102 AS,933932680,Nei
BULK DATA CENTERS OS-IX AS,923118535,Nei
CURRENCY EDGE AS,933453898,"Ja (100 % av forbruk)"
DATACITY AS,979441320,Nei
DATAFJELLET AS,989766872,Nei
DHUS AS,935477670,Nei
ECIT SOLUTIONS AS,921064802,Nei
EIDSIVA DIGITAL AS,880258222,Nei
EMP SECURE AS,968504436,Nei
EVINY FIBER AS,982770297,Nei
EXANORTH AS,921677421,"Ja (33 % av forbruk)"
GIGAHOST AS,933452549,Nei
GLOBALCONNECT AS,890164072,Nei
GREEN MOUNTAIN AS,994989391,Nei
GREEN MOUNTAIN INNLANDET AS,829283352,Nei
HOVEDKVARTERET IT AS,926643851,Nei
INTRAHOUSE DATA CENTERS AS,927410362,Nei
ITEAM AS,923456317,Nei
ITSJEFEN AS,828105442,Nei
KLINGSTONE AS,928431096,Nei
LEFDAL MINE DATACENTER AS,911599252,Nei
NEAS IT AS,928700968,Nei
NSCALE DRIFT AS,828605062,Nei
NTC SERVICES AS,988534005,Nei
NTE TELEKOM AS,926516019,Nei
ODIN GREEN DC AS,925218790,Nei
ORANGE BUSINESS DIGITAL NORWAY AS,982211743,Nei
REN RØROS DIGITAL AS,933054365,Nei
SI OSL 01 AS,981663322,Nei
SI OSL 02 AS,994817477,Nei
SI OSL 03.1 AS,912189287,Nei
SI OSL 03.2 AS,920030564,Nei
SI OSL 04 AS,922735573,Nei
SKYGARD AS,930086339,Nei
STORESPEED AS,916871821,Nei
TAFJORD CONNECT AS,977461863,Nei
TELIA NORGE AS,981929055,Nei
TERAKRAFT AS,926970208,Nei
THERMALTECH AS,933436012,"Ja (100 % av forbruk)"
TROLLFJORD IKT SENTER AS,999648274,Nei
TROLL HOUSING AS,911678608,"Ja (97 % av forbruk)"
TUSSA IKT AS,983450342,Nei
TYDAL DATA CENTER AS,927050188,"Ja (33 % av forbruk)"
UNIC NETTVERK AS,863847672,Nei
