stasjon,i_geocode_cache,har_koordinat,har_null
Adamselv,ja,nei,ja
Alta tra,ja,ja,nei
Arendal,ja,ja,nei
Arendal Industrinett,ja,ja,nei
Arna,ja,ja,nei
Aura,ja,nei,ja
Aurland2,ja,nei,ja
Ballangen,ja,nei,ja
Balsfjord,ja,nei,ja
Bamble,ja,nei,ja
Bardufoss Transformatorstasjon,ja,ja,nei
Bjerkreim,ja,nei,ja
Blåfalli,ja,nei,ja
Boltås,ja,nei,ja
Brokke,ja,nei,ja
Bærheim,ja,nei,ja
Dale,ja,ja,nei
Eidum,ja,nei,ja
Ertsmyra,ja,nei,ja
Fagrafjell,ja,nei,ja
Fana Transformatorstasjon,ja,ja,nei
Flesaker,ja,nei,ja
Follo,ja,nei,ja
Fortun,ja,nei,ja
Frogner,ja,ja,nei
Fræna,ja,nei,ja
Furuset,ja,nei,ja
Fåberg,ja,ja,nei
Førre,ja,nei,ja
Grenland,ja,nei,ja
Hamang,ja,nei,ja
Hasle,ja,nei,ja
Haugsvær,ja,nei,ja
Hinnøy,ja,nei,ja
Hof,ja,nei,ja
Hofstad,ja,nei,ja
Holen,ja,ja,nei
Humleberget,ja,ja,nei
Husnes,ja,nei,ja
Hyggevatn,ja,ja,nei
Høyanger,ja,nei,ja
Kilbotn,ja,nei,ja
Kirkenes,ja,nei,ja
Kjelland,ja,nei,ja
Klæbu,ja,nei,ja
Kobbvatnet,ja,nei,ja
Kollsnes,ja,nei,ja
Kolsvik,ja,nei,ja
Kristiansand,ja,ja,nei
Kvandal,ja,nei,ja
Kvinesdal,ja,nei,ja
Kvitfossen,ja,nei,ja
Kvitnes,ja,nei,ja
Kårstø,ja,nei,ja
Leirdøla,ja,nei,ja
Lindås,ja,nei,ja
Lio,ja,nei,ja
Litle Sotra,ja,nei,ja
Marka,ja,nei,ja
Melbu,ja,nei,ja
Mestervik,ja,nei,ja
Midtfjellet,ja,nei,ja
Minne,ja,nei,ja
Moskog,ja,nei,ja
Namsos,ja,nei,ja
Narvik,ja,ja,nei
Nedre Røssåga,ja,nei,ja
Nedre Vinstra,ja,nei,ja
Nes GE,ja,nei,ja
Nesflaten,ja,nei,ja
Niingen,ja,nei,ja
Novle,ja,ja,nei
Ogndal,ja,nei,ja
Orkdal,ja,nei,ja
Porsgrunn,ja,ja,nei
Rana,ja,ja,nei
Ringerike,ja,ja,nei
Rjukan,ja,ja,nei
Rød,ja,nei,ja
Røldal,ja,nei,ja
Røykås,ja,nei,ja
Salten transformatorstasjon,ja,ja,nei
Samnanger,ja,nei,ja
Sautso,ja,nei,ja
Sildvik,ja,ja,nei
Skaidi,ja,nei,ja
Smestad,ja,nei,ja
Snilldal,ja,nei,ja
Sogn,ja,nei,ja
Sortland,ja,nei,ja
Spanne,ja,nei,ja
Stokmarknes,ja,nei,ja
Stord,ja,nei,ja
Strinda,ja,nei,ja
Stølaheia,ja,nei,ja
Surna,ja,nei,ja
Svartisen,ja,nei,ja
Sylling,ja,nei,ja
T35,ja,ja,nei
Tegneby,ja,nei,ja
Trollheim,ja,nei,ja
Tunnsjødal,ja,nei,ja
Tveiten,ja,nei,ja
Ulven,ja,nei,ja
Vang,ja,nei,ja
Varangerbotn,ja,nei,ja
Vardal,ja,nei,ja
Viklandet,ja,nei,ja
Vinje,ja,nei,ja
Vinnelys,ja,nei,ja
Vågåmo,ja,nei,ja
Åfjord,ja,nei,ja
Ålfoten,ja,nei,ja
Ørskog,ja,nei,ja
Ørsta,ja,nei,ja
