status,stasjon,i_geocode_cache,har_koordinat,har_null
mangler_i_cache,Aurland2,nei,nei,nei
mangler_i_cache,Leirdøla,nei,nei,nei
mangler_i_cache,Lindås,nei,nei,nei
mangler_i_cache,Lio,nei,nei,nei
mangler_i_cache,Litle Sotra,nei,nei,nei
mangler_i_cache,Marka,nei,nei,nei
mangler_i_cache,Melbu,nei,nei,nei
mangler_i_cache,Mestervik,nei,nei,nei
mangler_i_cache,Midtfjellet,nei,nei,nei
mangler_i_cache,Minne,nei,nei,nei
mangler_i_cache,Moskog,nei,nei,nei
mangler_i_cache,Namsos,nei,nei,nei
mangler_i_cache,Narvik,nei,nei,nei
mangler_i_cache,Nedre Røssåga,nei,nei,nei
mangler_i_cache,Nedre Vinstra,nei,nei,nei
mangler_i_cache,Nes GE,nei,nei,nei
mangler_i_cache,Nesflaten,nei,nei,nei
mangler_i_cache,Niingen,nei,nei,nei
mangler_i_cache,Ogndal,nei,nei,nei
mangler_i_cache,Orkdal,nei,nei,nei
mangler_i_cache,Porsgrunn,nei,nei,nei
mangler_i_cache,Rana,nei,nei,nei
mangler_i_cache,Ringerike,nei,nei,nei
mangler_i_cache,Rjukan,nei,nei,nei
mangler_i_cache,Rød,nei,nei,nei
mangler_i_cache,Røldal,nei,nei,nei
mangler_i_cache,Røykås,nei,nei,nei
mangler_i_cache,Samnanger,nei,nei,nei
mangler_i_cache,Sautso,nei,nei,nei
mangler_i_cache,Sildvik,nei,nei,nei
mangler_i_cache,Skaidi,nei,nei,nei
mangler_i_cache,Smestad,nei,nei,nei
mangler_i_cache,Snilldal,nei,nei,nei
mangler_i_cache,Sogn,nei,nei,nei
mangler_i_cache,Sortland,nei,nei,nei
mangler_i_cache,Spanne,nei,nei,nei
mangler_i_cache,Stokmarknes,nei,nei,nei
mangler_i_cache,Stord,nei,nei,nei
mangler_i_cache,Strinda,nei,nei,nei
mangler_i_cache,Stølaheia,nei,nei,nei
mangler_i_cache,Surna,nei,nei,nei
mangler_i_cache,Svartisen,nei,nei,nei
mangler_i_cache,Sylling,nei,nei,nei
mangler_i_cache,Tegneby,nei,nei,nei
mangler_i_cache,Trollheim,nei,nei,nei
mangler_i_cache,Tunnsjødal,nei,nei,nei
mangler_i_cache,Tveiten,nei,nei,nei
mangler_i_cache,Ulven,nei,nei,nei
mangler_i_cache,Vang,nei,nei,nei
mangler_i_cache,Varangerbotn,nei,nei,nei
mangler_i_cache,Vardal,nei,nei,nei
mangler_i_cache,Viklandet,nei,nei,nei
mangler_i_cache,Vinje,nei,nei,nei
mangler_i_cache,Vinnelys,nei,nei,nei
mangler_i_cache,Vågåmo,nei,nei,nei
mangler_i_cache,Åfjord,nei,nei,nei
mangler_i_cache,Ålfoten,nei,nei,nei
mangler_i_cache,Ørskog,nei,nei,nei
mangler_i_cache,Ørsta,nei,nei,nei
null_koordinat,Adamselv,ja,nei,ja
null_koordinat,Aura,ja,nei,ja
null_koordinat,Ballangen,ja,nei,ja
null_koordinat,Balsfjord,ja,nei,ja
null_koordinat,Bamble,ja,nei,ja
null_koordinat,Bjerkreim,ja,nei,ja
null_koordinat,Blåfalli,ja,nei,ja
null_koordinat,Boltås,ja,nei,ja
null_koordinat,Brokke,ja,nei,ja
null_koordinat,Bærheim,ja,nei,ja
null_koordinat,Eidum,ja,nei,ja
null_koordinat,Ertsmyra,ja,nei,ja
null_koordinat,Fagrafjell,ja,nei,ja
null_koordinat,Flesaker,ja,nei,ja
null_koordinat,Follo,ja,nei,ja
null_koordinat,Fortun,ja,nei,ja
null_koordinat,Fræna,ja,nei,ja
null_koordinat,Furuset,ja,nei,ja
null_koordinat,Førre,ja,nei,ja
null_koordinat,Grenland,ja,nei,ja
null_koordinat,Hamang,ja,nei,ja
null_koordinat,Hasle,ja,nei,ja
null_koordinat,Haugsvær,ja,nei,ja
null_koordinat,Hinnøy,ja,nei,ja
null_koordinat,Hof,ja,nei,ja
null_koordinat,Hofstad,ja,nei,ja
null_koordinat,Husnes,ja,nei,ja
null_koordinat,Høyanger,ja,nei,ja
null_koordinat,Kilbotn,ja,nei,ja
null_koordinat,Kirkenes,ja,nei,ja
null_koordinat,Kjelland,ja,nei,ja
null_koordinat,Klæbu,ja,nei,ja
null_koordinat,Kobbvatnet,ja,nei,ja
null_koordinat,Kollsnes,ja,nei,ja
null_koordinat,Kolsvik,ja,nei,ja
null_koordinat,Kvandal,ja,nei,ja
null_koordinat,Kvinesdal,ja,nei,ja
null_koordinat,Kvitfossen,ja,nei,ja
null_koordinat,Kvitnes,ja,nei,ja
null_koordinat,Kårstø,ja,nei,ja
har_koordinat,Alta tra,ja,ja,nei
har_koordinat,Arendal,ja,ja,nei
har_koordinat,Arendal Industrinett,ja,ja,nei
har_koordinat,Arna,ja,ja,nei
har_koordinat,Bardufoss Transformatorstasjon,ja,ja,nei
har_koordinat,Dale,ja,ja,nei
har_koordinat,Fana Transformatorstasjon,ja,ja,nei
har_koordinat,Frogner,ja,ja,nei
har_koordinat,Fåberg,ja,ja,nei
har_koordinat,Holen,ja,ja,nei
har_koordinat,Humleberget,ja,ja,nei
har_koordinat,Hyggevatn,ja,ja,nei
har_koordinat,Kristiansand,ja,ja,nei
har_koordinat,Novle,ja,ja,nei
har_koordinat,Salten transformatorstasjon,ja,ja,nei
har_koordinat,T35,ja,ja,nei
