stasjon,lat,lon,kilde,i_geocode_cache
Adamselv,70.40972446638716,26.69570593169768,kartgrunnlag_cache,ja
Alta tra,69.9482,23.2721,manual,ja
Arendal,58.4648499,8.7696311,cache,ja
Arendal Industrinett,58.4875,8.7180,manual,ja
Arna,60.4200615,5.4658720,cache,ja
Aura,62.664140836633166,8.52357968498045,kartgrunnlag_cache,ja
Aurland2,60.80332,7.37191,manual,ja
Ballangen,68.26123906335339,16.733262943348947,kartgrunnlag_cache,ja
Balsfjord,69.19029237717892,19.205444381098022,kartgrunnlag_cache,ja
Bamble,59.04044768954035,9.59536043235527,kartgrunnlag_cache,ja
Bardufoss Transformatorstasjon,69.0587,18.5090,manual,ja
Bjerkreim,58.589922468196484,5.9210624003690056,kartgrunnlag_cache,ja
Blåfalli,59.86340233372589,6.009754566512007,kartgrunnlag_cache,ja
Boltås,68.53084871115593,16.66434238566892,kartgrunnlag_cache,ja
Brokke,59.123166131136365,7.510497690594326,kartgrunnlag_cache,ja
Bærheim,58.88298798126405,5.6942044433476475,kartgrunnlag_cache,ja
Dale,60.5863950,5.8154590,cache,ja
Eidum,63.44784377171784,11.00394866912433,kartgrunnlag_cache,ja
Ertsmyra,58.67120329936556,6.75511131811346,kartgrunnlag_cache,ja
Fagrafjell,58.78887890280912,5.762082508675961,kartgrunnlag_cache,ja
Fana Transformatorstasjon,60.3015,5.3340,manual,ja
Flesaker,59.71999496478027,9.844336072308698,kartgrunnlag_cache,ja
Follo,59.728692588105545,10.782531362357613,kartgrunnlag_cache,ja
Fortun,61.505698876796906,7.701380412658039,kartgrunnlag_cache,ja
Frogner,60.0228070,11.1031812,cache,ja
Fræna,62.85914644930167,7.111159750853125,kartgrunnlag_cache,ja
Furuset,59.94416641549855,10.883705916763459,kartgrunnlag_cache,ja
Fåberg,61.1709118,10.4051535,cache,ja
Førre,59.32753578414808,6.603820853058482,kartgrunnlag_cache,ja
Grenland,59.12853724670371,9.474554208437468,kartgrunnlag_cache,ja
Hamang,59.89685206890825,10.498511001477969,kartgrunnlag_cache,ja
Hasle,59.31418458831606,11.155002361910748,kartgrunnlag_cache,ja
Haugsvær,60.88926497714842,5.527142526559735,kartgrunnlag_cache,ja
Hinnøy,68.68322892720386,15.499998046797268,kartgrunnlag_cache,ja
Hof,59.5761316418202,10.105669697906594,kartgrunnlag_cache,ja
Hofstad,64.16243480765309,10.540450622264826,kartgrunnlag_cache,ja
Holen,59.5495913,10.7239607,cache,ja
Humleberget,58.8505,5.7665,manual,ja
Husnes,59.862784738615105,5.765852372375921,kartgrunnlag_cache,ja
Hyggevatn,70.68064,23.72552,manual,ja
Høyanger,61.2442706937049,6.151648331818949,kartgrunnlag_cache,ja
Kilbotn,68.71518379313869,16.509272809578018,kartgrunnlag_cache,ja
Kirkenes,69.72270354519604,30.03403130535382,kartgrunnlag_cache,ja
Kjelland,58.49484021654202,6.032866090851344,kartgrunnlag_cache,ja
Klæbu,63.326583705287625,10.417150767070545,kartgrunnlag_cache,ja
Kobbvatnet,67.63722379198826,15.987401376040973,kartgrunnlag_cache,ja
Kollsnes,60.55067362616698,4.844413605586241,kartgrunnlag_cache,ja
Kolsvik,65.20440512867613,12.79225446474407,kartgrunnlag_cache,ja
Kristiansand,58.1456045,7.9881869,cache,ja
Kvandal,68.57723024132423,17.610520177877387,kartgrunnlag_cache,ja
Kvinesdal,58.27658035070142,6.845798904658028,kartgrunnlag_cache,ja
Kvitfossen,68.3268824381468,14.650840114178015,kartgrunnlag_cache,ja
Kvitnes,68.62956933235577,16.598320819508007,kartgrunnlag_cache,ja
Kårstø,59.27822296910875,5.505494436850843,kartgrunnlag_cache,ja
Leirdøla,61.43810034545789,7.245854291850852,kartgrunnlag_cache,ja
Lindås,60.79545413563989,5.042206159111615,kartgrunnlag_cache,ja
Lio,59.46326075886191,7.938437266746529,kartgrunnlag_cache,ja
Litle Sotra,60.36566736929424,5.132444646511292,kartgrunnlag_cache,ja
Marka,65.85201584662478,13.290265705683845,kartgrunnlag_cache,ja
Melbu,68.51059989526128,14.851696268269114,kartgrunnlag_cache,ja
Mestervik,69.33782335624716,18.88389672285687,kartgrunnlag_cache,ja
Midtfjellet,59.93134552939008,5.395903231663862,kartgrunnlag_cache,ja
Minne,60.3887736099228,11.23225786640332,kartgrunnlag_cache,ja
Moskog,61.44562875661882,6.016001342157958,kartgrunnlag_cache,ja
Namsos,64.47814979724681,11.776188160014152,kartgrunnlag_cache,ja
Narvik,68.4415503,17.4411132,cache,ja
Nedre Røssåga,66.05121635919133,13.783520594576954,kartgrunnlag_cache,ja
Nedre Vinstra,61.577381769482905,9.803875659171045,kartgrunnlag_cache,ja
Nes GE,60.2095,11.5588,manual,ja
Nesflaten,59.65000244134043,6.81535655405355,kartgrunnlag_cache,ja
Niingen,68.53700300658687,17.02819700165318,manual,ja
Novle,59.8383,6.8805,manual,ja
Ogndal,64.02777214324936,11.619943745006125,kartgrunnlag_cache,ja
Orkdal,63.246074543483026,9.802926587128072,kartgrunnlag_cache,ja
Porsgrunn,59.1400961,9.6585971,cache,ja
Rana,66.3096077,14.1335001,cache,ja
Ringerike,60.2225660,10.2912040,cache,ja
Rjukan,59.8771065,8.5836520,cache,ja
Rød,59.272877551747264,9.544284802177907,kartgrunnlag_cache,ja
Røldal,59.82133879944846,6.816590919320403,kartgrunnlag_cache,ja
Røykås,59.93022509273238,10.933815002161605,kartgrunnlag_cache,ja
Salten transformatorstasjon,67.3780,15.6145,manual,ja
Samnanger,60.39779505056462,5.840817222424526,kartgrunnlag_cache,ja
Sautso,69.71959419126219,23.802119476632374,kartgrunnlag_cache,ja
Sildvik,68.4037757,17.7910714,cache,ja
Skaidi,70.43326695140196,24.54246513286043,kartgrunnlag_cache,ja
Smestad,59.93494129397492,10.66767113400373,kartgrunnlag_cache,ja
Snilldal,63.399281290249945,9.60916086287106,kartgrunnlag_cache,ja
Sogn,59.95770117585586,10.720672602563093,kartgrunnlag_cache,ja
Sortland,68.71201707428938,15.384255290638405,kartgrunnlag_cache,ja
Spanne,59.37899646000803,5.334879300860679,kartgrunnlag_cache,ja
Stokmarknes,68.55246253658893,14.990129993084773,kartgrunnlag_cache,ja
Stord,59.78725774438767,5.413089127435466,kartgrunnlag_cache,ja
Strinda,63.39176249622272,10.438730913640345,kartgrunnlag_cache,ja
Stølaheia,58.96307494730643,5.652175122434436,kartgrunnlag_cache,ja
Surna,62.99638663839059,9.009449515231264,kartgrunnlag_cache,ja
Svartisen,66.72961646018842,13.912006204116398,kartgrunnlag_cache,ja
Sylling,59.86749458195046,10.214758094412566,kartgrunnlag_cache,ja
T35,59.11639,9.63427,manual,ja
Tegneby,59.51613729743573,10.739130093358563,kartgrunnlag_cache,ja
Trollheim,63.006522113308186,9.020239948187411,kartgrunnlag_cache,ja
Tunnsjødal,64.70377582917814,12.834872400721109,kartgrunnlag_cache,ja
Tveiten,59.32977620275053,10.381214232783394,kartgrunnlag_cache,ja
Ulven,59.92191237506248,10.811170471506726,kartgrunnlag_cache,ja
Vang,60.83575805658488,11.267279292120397,kartgrunnlag_cache,ja
Varangerbotn,70.17148121337218,28.541513688936508,kartgrunnlag_cache,ja
Vardal,60.802021235821336,10.564888176309438,kartgrunnlag_cache,ja
Viklandet,62.68888195201076,8.497918096769004,kartgrunnlag_cache,ja
Vinje,59.624668533830636,7.851879179645363,kartgrunnlag_cache,ja
Vinnelys,69.6340134049526,21.311534715976126,kartgrunnlag_cache,ja
Vågåmo,61.88124436435195,9.081767748053462,kartgrunnlag_cache,ja
Åfjord,63.89171386306289,10.2215649542643,kartgrunnlag_cache,ja
Ålfoten,61.82885971909765,5.5488066910014755,kartgrunnlag_cache,ja
Ørskog,62.473139558573756,6.865554366888013,kartgrunnlag_cache,ja
Ørsta,62.15724497100848,6.260062457511067,kartgrunnlag_cache,ja
