stasjon,lat,lon,kommentar
Alta tra,69.9482,23.2721,Ved Transbakken i Alta.
Arendal Industrinett,58.4875,8.7180,Ved Eydehavn transformatorstasjon.
Aurland 2,60.80332,7.37191,Manuelt lagt inn: Aurland 2 (60.80332°N 7.37191°Ø).
Aurland2,60.80332,7.37191,Manuelt lagt inn: Aurland 2 (60.80332°N 7.37191°Ø).
Bardufoss Transformatorstasjon,69.0587,18.5090,Bardufoss transformatorstasjon.
Fana Transformatorstasjon,60.3015,5.3340,Soleimyra ved Apeltun i Bergen.
Humleberget,58.8505,5.7665,Ny stasjon i Sandnes (v/ Bærheim).
Hyggevatn,70.68064,23.72552,Manuelt lagt inn: Hyggevannet (70.68064°N 23.72552°Ø).
Nes ge,60.2095,11.5588,Nes transformatorstasjon (Akershus).
Novle,59.8383,6.8805,Novle kraftverk (Røldal).
Salten transformatorstasjon,67.3780,15.6145,"Ny stasjon på Lemmen, Sørfold."
T35,59.11639,9.63427,Herøya ved Porsgrunn (oppgitt koordinat).
