saksnr,stasjon,omradeplan,prisomrade,statnetts_kunde,sluttkunde,naringstype,moden_bestilling_dato,kapasitet_ko_mw,onsket_tilknytning,kundens_referanse,kunde_og_tilknytningsansvarlig
21/00093,Varangerbotn,Nord,NO4,Barents Nett As,Aker Solution og Varanger Kraft Hydrogen,Hydrogen/ammoniakk,2024-01-23,177.0,2030-01-30,,Lars Erik Johansen
21/00098,Tveiten,Telemark og Vestfold,NO2,Lede AS,Green Mountain AS,Datasenter,2022-12-14,20.0,2027-03-30,,Geir Kåsa
21/00283,Kårstø,Bergen og Haugalandet,NO2,Gassco AS,Gassco AS,Petroleum,2019-05-15,20.0,2023-06-30,,Magnus Tennøe
21/00426,Arendal,Sør Rogaland og Agder,NO2,Glitre Nett AS,Biozin Holding AS,Industri,2025-05-29,65.0,2027-12-30,,Geir Kåsa
21/00473,Marka,Helgeland og Salten,NO4,Linea AS,Gen2 energy,Hydrogen/ammoniakk,2022-10-30,500.0,2031-12-31,,Ingvild Grøtterud Birkeland
21/00475,Marka,Helgeland og Salten,NO4,Linea AS,Alcoa Mosjøen,Industri,2018-02-04,17.0,2025-03-31,,Ingvild Grøtterud Birkeland
22/00602,Rød,Telemark og Vestfold,NO2,WS Computing AS,WSC,Datasenter,2022-03-29,480.0,2025-03-31,,Geir Kåsa
22/00618,Åfjord,Midt,NO3,Tensio AS,Gen2 energy,Hydrogen/ammoniakk,2022-04-11,150.0,2028-08-31,,Christopher Aarnseth Ruud
22/00654,Vågåmo,Innlandet,NO3,Fjellnett As,Krefter AS,Datasenter,2022-05-24,10.0,2025-07-30,,Heidi Hellesvik Ringstad
22/00660,Sildvik,Nord,NO4,Narvik Hydrogen AS,Narvik Hydrogen AS,Hydrogen/ammoniakk,2023-09-21,90.0,2027-04-01,,Lars Erik Johansen
22/00715,Kolsvik,Helgeland og Salten,NO4,Linea AS,Aquaculture Innovation,Oppdrettsnæring,2022-04-27,25.0,2026-10-01,,Ingvild Grøtterud Birkeland
22/00717,Nedre Røssåga,Helgeland og Salten,NO4,Linea AS,SCC Eiendom,Datasenter,2022-09-15,20.0,2024-12-31,,Ingvild Grøtterud Birkeland
22/00747,Aura,Midt,NO3,Linja AS,Pega Nordic AS,Datasenter,2022-11-25,8.0,2023-01-30,,Christopher Aarnseth Ruud
23/00809,Tveiten,Telemark og Vestfold,NO2,Lede AS,Slagentangen H2 og ammoniakk produksjon fase 2,Hydrogen/ammoniakk,2022-09-04,59.0,2026-06-29,,Geir Kåsa
23/00814,Hof,Telemark og Vestfold,NO2,Lede AS,NOAH - Saltgjennvinning,Industri,2022-10-26,16.0,2029-03-30,,Geir Kåsa
23/00826,Ørskog,Sogn og Sunnmøre,NO3,Linja AS,Norwegian Hydrogen AS,Hydrogen/ammoniakk,2023-01-25,250.0,2027-08-30,,Hans Olav Ween
23/00863,Moskog,Sogn og Sunnmøre,NO3,Linja AS,North Ammonia AS,Hydrogen/ammoniakk,2024-06-06,200.0,2028-01-30,,Hans Olav Ween
23/00918,Skaidi,Nord,NO4,Area Nett AS,Sky Consulting,Datasenter,2025-03-03,15.0,2025-12-30,,Lars Erik Johansen
23/00931,Strinda,Midt,NO3,Tensio AS,Statkraft Varme,Annet forbruk,2023-04-04,10.1,2027-07-01,,Christopher Aarnseth Ruud
23/00951,Hinnøy,Nord,NO4,Noranett AS,NorthSafe AS,Datasenter,2023-04-23,25.0,2023-09-13,,Lars Erik Johansen
23/00977,Orkdal,Midt,NO3,Tensio AS,Ellinor Batteries AS,Batteriproduksjon,2023-05-16,100.0,2027-12-30,,Christopher Aarnseth Ruud
23/01018,Viklandet,Midt,NO3,Linja AS,BIO3,Oppdrettsnæring,2023-05-30,40.0,2026-06-29,,Christopher Aarnseth Ruud
23/01050,Fåberg,Innlandet,NO1,Vevig As,Glocal Green Innlandet AS,Hydrogen/ammoniakk,2024-05-30,125.0,2029-03-30,,Heidi Hellesvik Ringstad
23/01051,Leirdøla,Sogn og Sunnmøre,NO5,Sygnir AS,Kitebrook Infrastructure AS,Datasenter,2025-04-26,100.0,2024-12-30,,Hans Olav Ween
23/01063,Tegneby,"Oslo, Akershus og Østfold",NO1,Elvia As,SI OSL 04 AS,Datasenter,2023-07-13,44.0,2033-06-29,,Heidi Hellesvik Ringstad
23/01086,Viklandet,Midt,NO3,Linja AS,Averøy Industripark AS,Oppdrettsnæring,2023-08-15,20.0,2028-01-30,,Christopher Aarnseth Ruud
23/01095,Orkdal,Midt,NO3,Tensio AS,Orkland Næringspark AS,Industri,2023-08-18,5.1,2027-12-30,,Christopher Aarnseth Ruud
23/01099,Moskog,Sogn og Sunnmøre,NO3,Linja AS,HTwo-Fuel AS,Hydrogen/ammoniakk,2023-08-28,20.0,2028-01-30,,Hans Olav Ween
23/01121,Aura,Midt,NO3,Hydro Aluminium As,Hydro Aluminium AS,Industri,2022-10-25,85.0,2033-12-30,,Christopher Aarnseth Ruud
23/01166,Hof,Telemark og Vestfold,NO2,Lede AS,Norgips Norge AS,Industri,2024-06-30,32.0,2027-12-30,,Geir Kåsa
23/01219,Niingen,Nord,NO4,Noranett AS,Bogen Aqua,Oppdrettsnæring,2023-11-06,5.0,2028-11-30,,Lars Erik Johansen
23/01237,Kvitnes,Nord,NO4,Noranett AS,Denvo Wolffish Norway AS,Oppdrettsnæring,2023-10-21,10.0,2031-11-30,,Lars Erik Johansen
23/01317,Salten transformatorstasjon,Helgeland og Salten,NO4,Arva AS,Fjuel Bodø,Transport,2023-11-14,6.0,2028-03-30,,Ingvild Grøtterud Birkeland
23/01318,Salten transformatorstasjon,Helgeland og Salten,NO4,Arva AS,NSG – Nye Sulitjelma Gruver,Industri,2023-11-16,10.0,2030-03-30,,Ingvild Grøtterud Birkeland
